business_date,close_price,high_price,low_price,total_traded_quantity,total_traded_value,total_trades,day,month,weekday,volume_class,anomaly_label,year,year_month,week,prev_total_trades,avg_traded_qty_3
2024-12-16,1360.0,1375.0,1350.0,24483,33313470.9,235,16,12,0,0,0,2024,2024-12,51,143.0,14875.333333333334
2024-12-12,1382.6,1436.0,1382.0,18277,25574183.2,227,12,12,3,0,0,2024,2024-12,50,235.0,16648.333333333332
2024-12-11,1425.0,1425.0,1393.0,12160,17053363.3,134,11,12,2,0,0,2024,2024-12,50,227.0,18306.666666666668
2024-12-10,1410.0,1439.0,1391.5,10261,14434673.7,166,10,12,1,0,0,2024,2024-12,50,134.0,13566.0
2024-12-09,1414.0,1420.0,1383.0,24862,34610597.2,282,9,12,0,0,0,2024,2024-12,50,166.0,15761.0
2024-12-08,1395.0,1457.0,1390.0,26319,37136926.7,332,8,12,6,0,0,2024,2024-12,49,282.0,20480.666666666668
2024-12-05,1429.0,1485.0,1422.0,19344,27905191.6,272,5,12,3,0,0,2024,2024-12,49,332.0,23508.333333333332
2024-12-04,1470.0,1499.0,1463.0,18175,26800905.0,242,4,12,2,0,0,2024,2024-12,49,272.0,21279.333333333332
2024-12-03,1485.9,1510.0,1465.0,30642,45296347.0,331,3,12,1,0,0,2024,2024-12,49,242.0,22720.333333333332
2024-12-02,1490.0,1530.0,1475.0,28054,41750586.8,299,2,12,0,0,0,2024,2024-12,49,331.0,25623.666666666668
2024-12-01,1500.0,1530.0,1481.7,30009,44959604.0,363,1,12,6,0,0,2024,2024-12,48,299.0,29568.333333333332
2024-11-28,1511.8,1565.0,1511.5,29968,45945689.7,327,28,11,3,0,0,2024,2024-11,48,363.0,29343.666666666668
2024-11-27,1545.0,1566.0,1522.1,32355,49900223.6,312,27,11,2,1,0,2024,2024-11,48,327.0,30777.333333333332
2024-11-26,1538.0,1590.0,1510.3,46563,72242858.7,421,26,11,1,1,0,2024,2024-11,48,312.0,36295.333333333336
2024-11-25,1570.0,1574.0,1480.0,97384,150865836.1,888,25,11,0,1,0,2024,2024-11,48,421.0,58767.333333333336
2024-11-24,1498.0,1510.0,1431.0,69520,103097649.9,695,24,11,6,1,0,2024,2024-11,47,888.0,71155.66666666667
2024-11-21,1454.0,1479.0,1416.0,24447,34981401.1,271,21,11,3,0,0,2024,2024-11,47,695.0,63783.666666666664
2024-11-20,1454.5,1454.5,1410.0,23473,33562275.8,269,20,11,2,0,0,2024,2024-11,47,271.0,39146.666666666664
2024-11-19,1422.0,1479.0,1422.0,36148,52402720.3,397,19,11,1,1,0,2024,2024-11,47,269.0,28022.666666666668
2024-11-17,1470.0,1488.0,1445.0,37573,55031778.5,347,17,11,6,1,0,2024,2024-11,46,397.0,32398.0
2024-11-14,1450.0,1460.0,1426.0,32033,46337807.8,306,14,11,3,0,0,2024,2024-11,46,347.0,35251.333333333336
2024-11-13,1430.0,1470.0,1425.0,26059,37687696.4,309,13,11,2,0,0,2024,2024-11,46,306.0,31888.333333333332
2024-11-12,1460.0,1468.0,1425.9,32745,47391112.8,372,12,11,1,1,0,2024,2024-11,46,309.0,30279.0
2024-11-11,1440.0,1440.0,1366.0,51968,73799964.8,618,11,11,0,1,0,2024,2024-11,46,372.0,36924.0
2024-11-10,1360.0,1360.0,1329.0,28201,38090632.6,321,10,11,6,0,0,2024,2024-11,45,618.0,37638.0
2024-11-06,1329.0,1337.2,1310.0,10086,13345038.6,150,6,11,2,0,0,2024,2024-11,45,321.0,30085.0
2024-11-05,1330.0,1351.0,1310.0,11063,14682823.4,174,5,11,1,0,0,2024,2024-11,45,150.0,16450.0
